Date,Country,Engaged sessions,WC (web conversions),WQC (web qualified conversions)
20171119,Austria,8,0,0
20171119,Puerto Rico,8,0,0
20171120,Bahrain,8,3,0
20171120,Israel,8,0,0
20171120,Poland,8,2,0
20171120,Puerto Rico,8,0,0
20171120,Tunisia,8,2,0
20171120,South Africa,8,1,0
20171121,Israel,8,2,0
20171121,Malaysia,8,2,0
20171121,Turkey,8,3,0
20171122,United Arab Emirates,8,1,0
20171122,Hungary,8,0,0
20171122,Martinique,8,1,0
20171122,(not set),8,0,0
20171123,Austria,8,1,0
20171123,Ecuador,8,2,0
20171124,Austria,8,1,0
20171124,Indonesia,8,1,0
20171125,Uruguay,8,3,1
20171126,United Arab Emirates,8,1,0
20171126,Switzerland,8,1,0
20171126,Iran,8,3,0
20171126,Qatar,8,5,0
20171126,Serbia,8,2,0
20171127,Austria,8,1,0
20171127,(not set),8,1,0
20171128,United Arab Emirates,8,1,0
20171128,Austria,8,2,0
20171128,Hong Kong,8,0,0
20171128,Portugal,8,0,0
20171128,(not set),8,2,0
20171129,Austria,8,0,0
20171129,French Polynesia,8,2,0
20171130,Switzerland,8,1,0
20171130,Paraguay,8,1,0
20171201,India,8,1,0
20171201,Singapore,8,1,0
20171202,Bulgaria,8,0,0
20171202,Switzerland,8,0,0
20171202,Greece,8,3,0
20171202,Philippines,8,1,0
20171203,Costa Rica,8,1,0
20171203,Curaçao,8,2,0
20171203,Qatar,8,2,0
20171204,Curaçao,8,0,0
20171204,Dominican Republic,8,0,0
20171204,India,8,0,0
20171204,Martinique,8,0,0
20171204,New Caledonia,8,0,0
20171205,Bahamas,8,1,0
20171205,Dominican Republic,8,1,0
20171205,Philippines,8,0,0
20171205,Saudi Arabia,8,1,0
20171206,Croatia,8,1,0
20171206,Portugal,8,1,0
20171207,South Africa,8,3,0
20171208,United Arab Emirates,8,1,0
20171208,Switzerland,8,0,0
20171208,Puerto Rico,8,0,0
20171208,Ukraine,8,2,0
20171209,Portugal,8,2,0
20171209,Russia,8,1,0
20171209,Uruguay,8,0,0
20171210,Belgium,8,0,0
20171210,Hungary,8,1,0
20171210,Ukraine,8,3,0
20171211,Greece,8,0,0
20171212,Greece,8,1,0
20171212,Indonesia,8,3,1
20171212,Kuwait,8,3,0
20171212,Paraguay,8,5,0
20171212,Saudi Arabia,8,0,0
20171213,Dominican Republic,8,0,0
20171213,Philippines,8,0,0
20171213,Paraguay,8,0,0
20171213,Saudi Arabia,8,0,0
20171214,Curaçao,8,2,0
20171215,Curaçao,8,3,0
20171215,Greece,8,1,0
20171215,Poland,8,0,0
20171215,Ukraine,8,0,0
20171116,Croatia,7,0,0
20171116,Saudi Arabia,7,4,0
20171116,Turkey,7,5,0
20171117,Austria,7,1,1
20171117,Denmark,7,2,0
20171117,India,7,0,0
20171117,Portugal,7,1,0
20171117,(not set),7,1,0
20171118,South Korea,7,0,0
20171118,Qatar,7,1,0
20171119,Morocco,7,2,0
20171119,New Caledonia,7,0,0
20171119,French Polynesia,7,0,0
20171119,Philippines,7,0,0
20171120,United Arab Emirates,7,1,0
20171120,Czechia,7,0,0
20171120,Estonia,7,1,0
20171120,Indonesia,7,2,0
20171120,Portugal,7,2,0
20171120,Singapore,7,0,0
20171120,Turkey,7,1,0
20171121,United Arab Emirates,7,0,0
20171121,Côte d’Ivoire,7,0,0
20171121,Czechia,7,0,0
20171121,Paraguay,7,0,0
20171121,Syria,7,0,0
20171121,(not set),7,1,1
20171122,Bulgaria,7,2,0
20171122,Ireland,7,0,0
20171122,Paraguay,7,0,0
20171123,Croatia,7,2,0
20171123,Hungary,7,2,0
20171123,Turkey,7,1,0
20171123,(not set),7,0,0
20171124,Greece,7,1,0
20171124,French Polynesia,7,2,0
20171124,Saudi Arabia,7,0,0
20171125,Austria,7,1,0
20171125,Puerto Rico,7,0,0
20171125,Thailand,7,0,0
20171125,South Africa,7,0,0
20171126,Paraguay,7,1,0
20171126,Thailand,7,1,0
20171127,Bahamas,7,2,0
20171127,Switzerland,7,3,1
20171127,Hong Kong,7,2,0
20171127,Iran,7,3,1
20171127,Paraguay,7,1,0
20171127,Vietnam,7,0,0
20171128,Bahamas,7,1,0
20171128,Croatia,7,1,0
20171129,Hong Kong,7,1,0
20171129,New Caledonia,7,0,0
20171129,Puerto Rico,7,0,0
20171129,Taiwan,7,0,0
20171129,(not set),7,1,0
20171130,United Arab Emirates,7,1,0
20171130,Bulgaria,7,0,0
20171130,Hungary,7,1,0
20171130,Philippines,7,0,0
20171201,Czechia,7,4,0
20171201,Philippines,7,2,0
20171201,Portugal,7,2,1
20171202,Côte d’Ivoire,7,2,0
20171202,Croatia,7,2,0
20171202,Indonesia,7,2,0
20171202,Panama,7,1,0
20171202,Uruguay,7,0,0
20171203,United Arab Emirates,7,0,0
20171203,Austria,7,0,0
20171203,Dominican Republic,7,0,0
20171203,Greece,7,1,0
20171203,Uruguay,7,1,1
20171204,Uruguay,7,0,0
20171205,Poland,7,3,0
20171206,Denmark,7,1,0
20171206,Dominican Republic,7,0,0
20171206,Hong Kong,7,2,0
20171206,Hungary,7,3,0
20171206,Malaysia,7,1,0
20171206,Poland,7,1,0
20171207,South Korea,7,0,0
20171207,Malaysia,7,0,0
20171207,Saudi Arabia,7,1,0
20171207,(not set),7,1,0
20171208,Belgium,7,0,0
20171208,Greece,7,1,0
20171209,Martinique,7,3,0
20171209,Netherlands,7,0,0
20171210,Dominican Republic,7,0,0
20171210,Martinique,7,1,0
20171210,Suriname,7,4,1
20171211,Israel,7,2,0
20171211,Morocco,7,1,0
20171211,Poland,7,2,0
20171211,Turkey,7,1,0
20171212,Estonia,7,0,0
20171212,Poland,7,0,0
20171212,Portugal,7,1,0
20171213,Austria,7,1,0
20171213,Bulgaria,7,1,0
20171213,Switzerland,7,1,0
20171213,Denmark,7,1,0
20171213,Indonesia,7,0,0
20171213,Martinique,7,1,1
20171213,Poland,7,2,0
20171213,Portugal,7,2,0
20171213,Uruguay,7,0,0
20171213,(not set),7,0,0
20171214,United Arab Emirates,7,0,0
20171214,Switzerland,7,0,0
20171214,Dominican Republic,7,0,0
20171214,Ireland,7,2,0
20171214,India,7,0,0
20171214,Slovenia,7,3,0
20171215,Martinique,7,1,0
20171215,Malaysia,7,0,0
20171215,Saudi Arabia,7,2,0
20171215,Turkey,7,1,0
20171116,Bulgaria,6,0,0
20171116,Malaysia,6,2,0
20171116,Paraguay,6,0,0
20171116,Tunisia,6,2,0
20171117,United Arab Emirates,6,1,0
20171117,Croatia,6,0,0
20171117,Slovenia,6,0,0
20171117,Ukraine,6,2,0
20171118,Switzerland,6,1,0
20171118,Poland,6,2,0
20171118,Tunisia,6,2,0
20171118,Turkey,6,1,0
20171119,United Arab Emirates,6,3,0
20171119,Curaçao,6,1,0
20171119,Denmark,6,1,0
20171119,Egypt,6,1,0
20171119,Greece,6,1,0
20171120,Bahamas,6,0,0
20171120,Curaçao,6,1,0
20171120,Greece,6,0,0
20171120,Maldives,6,0,0
20171120,Malaysia,6,1,0
20171120,French Polynesia,6,0,0
20171120,Venezuela,6,2,0
20171121,Austria,6,1,0
20171121,Bahrain,6,3,0
20171121,Hungary,6,0,0
20171121,Mauritius,6,0,0
20171121,New Caledonia,6,0,0
20171121,Philippines,6,0,0
20171122,Puerto Rico,6,0,0
20171122,Suriname,6,0,0
20171122,Turkey,6,1,0
20171123,Denmark,6,2,0
20171123,Iran,6,2,0
20171123,Qatar,6,2,0
20171125,Bahamas,6,1,0
20171125,Denmark,6,3,0
20171125,Indonesia,6,2,0
20171125,Israel,6,4,0
20171125,Iran,6,3,0
20171125,Philippines,6,2,0
20171126,Austria,6,2,0
20171126,Bulgaria,6,0,0
20171126,Greece,6,1,0
20171126,Israel,6,0,0
20171126,Philippines,6,3,0
20171126,Slovakia,6,0,0
20171126,(not set),6,1,0
20171127,Angola,6,4,0
20171127,Curaçao,6,1,0
20171127,Israel,6,1,0
20171127,South Korea,6,3,0
20171127,Panama,6,1,0
20171127,Singapore,6,1,0
20171127,Slovenia,6,2,0
20171127,Suriname,6,0,0
20171127,Ukraine,6,2,0
20171128,Angola,6,0,0
20171128,Guadeloupe,6,0,0
20171128,Israel,6,1,0
20171128,Malaysia,6,0,0
20171128,Paraguay,6,0,0
20171128,Taiwan,6,1,0
20171129,Bulgaria,6,2,0
20171129,India,6,1,0
20171129,Malaysia,6,2,0
20171129,Philippines,6,0,0
20171129,Slovenia,6,1,0
20171129,Turkey,6,3,0
20171130,Czechia,6,2,0
20171130,Dominican Republic,6,0,0
20171130,Greece,6,1,0
20171130,New Caledonia,6,2,0
20171130,Panama,6,1,0
20171130,Poland,6,1,0
20171130,Puerto Rico,6,0,0
20171201,Paraguay,6,0,0
20171203,Côte d’Ivoire,6,0,0
20171203,Hong Kong,6,1,0
20171203,Croatia,6,0,0
20171203,French Polynesia,6,0,0
20171204,United Arab Emirates,6,1,0
20171204,Bahrain,6,0,0
20171204,Costa Rica,6,1,0
20171204,Hong Kong,6,1,0
20171204,Poland,6,0,0
20171204,Qatar,6,0,0
20171205,Algeria,6,0,0
20171205,Portugal,6,1,0
20171206,Czechia,6,2,0
20171207,Bulgaria,6,3,0
20171207,Dominican Republic,6,2,0
20171207,Peru,6,0,0
20171208,Portugal,6,2,0
20171208,Paraguay,6,1,0
20171208,Saudi Arabia,6,0,0
20171209,Austria,6,0,0
20171209,Ecuador,6,0,0
20171209,Hungary,6,3,0
20171209,India,6,0,0
20171209,Kuwait,6,4,0
20171209,Malta,6,1,0
20171209,Poland,6,0,0
20171209,Ukraine,6,0,0
20171210,Greece,6,2,0
20171211,Bulgaria,6,1,0
20171211,Hungary,6,0,0
20171211,Indonesia,6,0,0
20171211,India,6,0,0
20171211,New Caledonia,6,1,0
20171212,Switzerland,6,1,0
20171212,Hungary,6,3,1
20171212,Ireland,6,2,0
20171212,Uruguay,6,0,0
20171213,Côte d’Ivoire,6,1,0
20171213,Greece,6,1,0
20171213,Netherlands,6,1,0
20171214,New Caledonia,6,0,0
20171214,Paraguay,6,0,0
20171214,Saudi Arabia,6,1,0
20171214,Turkey,6,0,0
20171215,India,6,0,0
20171215,Portugal,6,1,0
20171215,Serbia,6,1,0
20171116,Côte d’Ivoire,5,1,0
20171116,Estonia,5,1,0
20171116,Ireland,5,0,0
20171116,South Korea,5,0,0
20171116,Panama,5,0,0
20171116,Qatar,5,1,0
20171116,(not set),5,1,0
20171117,Cyprus,5,2,0
20171117,Greece,5,0,0
20171117,Indonesia,5,0,0
20171117,South Korea,5,1,0
20171117,Puerto Rico,5,2,0
20171117,Qatar,5,2,0
20171117,Turkey,5,1,0
20171118,Greece,5,0,0
20171118,Morocco,5,1,0
20171118,New Caledonia,5,0,0
20171118,Panama,5,1,0
20171118,Puerto Rico,5,0,0
20171119,Caribbean Netherlands,5,2,0
20171119,Ireland,5,2,0
20171119,Israel,5,0,0
20171119,Singapore,5,1,0
20171119,Sint Maarten,5,3,0
20171119,Venezuela,5,0,0
20171119,(not set),5,2,1
20171120,Denmark,5,1,0
20171120,Hong Kong,5,3,0
20171120,Croatia,5,0,0
20171120,Ireland,5,1,0
20171120,Kuwait,5,0,0
20171120,Qatar,5,2,0
20171120,Vietnam,5,1,0
20171120,(not set),5,0,0
20171121,Bulgaria,5,1,0
20171121,Bahamas,5,2,0
20171121,Guadeloupe,5,1,0
20171121,Hong Kong,5,1,0
20171121,Croatia,5,0,0
20171121,Indonesia,5,3,0
20171121,South Korea,5,0,0
20171121,Maldives,5,3,0
20171121,Qatar,5,1,0
20171121,Serbia,5,0,0
20171121,Singapore,5,2,0
20171121,Vietnam,5,0,0
20171122,Greece,5,1,0
20171122,Indonesia,5,1,0
20171122,Malta,5,1,0
20171122,Portugal,5,1,0
20171122,Réunion,5,1,0
20171122,Romania,5,1,0
20171122,Slovenia,5,0,0
20171123,Czechia,5,1,0
20171123,Malaysia,5,0,0
20171123,Peru,5,0,0
20171123,Saudi Arabia,5,0,0
20171123,Thailand,5,0,0
20171124,Bahamas,5,0,0
20171124,Algeria,5,0,0
20171124,Hungary,5,2,0
20171124,Iran,5,2,0
20171124,Philippines,5,0,0
20171124,Paraguay,5,2,1
20171124,Turkey,5,0,0
20171124,Ukraine,5,1,0
20171125,Malaysia,5,1,0
20171125,Qatar,5,1,0
20171125,Russia,5,0,0
20171125,Ukraine,5,1,0
20171126,Algeria,5,0,0
20171126,India,5,1,0
20171126,South Korea,5,1,0
20171126,Réunion,5,0,0
20171127,Costa Rica,5,0,0
20171127,Czechia,5,1,0
20171127,Maldives,5,0,0
20171127,Puerto Rico,5,0,0
20171127,Romania,5,1,0
20171127,Serbia,5,1,0
20171128,Costa Rica,5,0,0
20171128,Czechia,5,2,0
20171129,Angola,5,3,0
20171129,Bahrain,5,3,0
20171129,Greece,5,2,0
20171129,Croatia,5,2,0
20171129,Martinique,5,0,0
20171129,Poland,5,1,0
20171129,Qatar,5,0,0
20171130,Bahamas,5,0,0
20171130,Costa Rica,5,1,0
20171130,Estonia,5,2,0
20171130,Croatia,5,1,0
20171130,Maldives,5,2,1
20171130,Malaysia,5,0,0
20171130,Portugal,5,2,0
20171130,Romania,5,0,0
20171130,Taiwan,5,0,0
20171130,Uruguay,5,4,3
20171130,South Africa,5,0,0
20171201,United Arab Emirates,5,1,0
20171201,Greece,5,2,0
20171201,Croatia,5,1,0
20171201,Israel,5,0,0
20171201,Slovenia,5,1,0
20171201,Thailand,5,0,0
20171201,Ukraine,5,1,0
20171201,Uruguay,5,1,0
20171202,Denmark,5,2,0
20171202,Hong Kong,5,0,0
20171202,Venezuela,5,0,0
20171203,Ireland,5,1,0
20171203,Kuwait,5,0,0
20171203,Singapore,5,1,0
20171203,(not set),5,0,0
20171204,Côte d’Ivoire,5,2,0
20171204,Guadeloupe,5,0,0
20171204,Ireland,5,3,0
20171204,Malaysia,5,1,0
20171204,Romania,5,0,0
20171205,Austria,5,1,0
20171205,Côte d’Ivoire,5,3,0
20171205,Egypt,5,1,0
20171205,Greece,5,2,0
20171205,Singapore,5,1,0
20171205,(not set),5,0,0
20171206,Austria,5,1,0
20171206,Côte d’Ivoire,5,1,0
20171206,Singapore,5,1,1
20171207,Czechia,5,0,0
20171207,Guatemala,5,1,0
20171207,Indonesia,5,2,0
20171207,Israel,5,1,0
20171207,Kuwait,5,4,0
20171207,Philippines,5,0,0
20171207,Slovenia,5,3,0
20171207,Turkey,5,1,0
20171207,Ukraine,5,0,0
20171207,Uruguay,5,0,0
20171207,Venezuela,5,1,0
20171208,Bahamas,5,1,0
20171208,Czechia,5,1,0
20171208,Denmark,5,1,0
20171208,Hungary,5,1,0
20171208,India,5,1,0
20171208,New Caledonia,5,0,0
20171209,Bahamas,5,0,0
20171209,Egypt,5,1,0
20171209,Croatia,5,0,0
20171209,Haiti,5,0,0
20171209,South Korea,5,2,0
20171209,Thailand,5,1,0
20171209,(not set),5,0,0
20171210,Czechia,5,1,0
20171210,Egypt,5,1,0
20171210,Kuwait,5,1,0
20171210,Malaysia,5,0,0
20171210,Turkey,5,2,0
20171210,(not set),5,0,0
20171211,United Arab Emirates,5,1,0
20171211,Bahamas,5,0,0
20171211,Costa Rica,5,1,0
20171211,Denmark,5,1,0
20171211,Dominican Republic,5,0,0
20171211,Hong Kong,5,1,0
20171211,Croatia,5,1,0
20171211,Cambodia,5,1,0
20171211,Slovenia,5,2,0
20171211,(not set),5,0,0
20171212,Côte d’Ivoire,5,0,0
20171212,Ecuador,5,0,0
20171212,Croatia,5,1,0
20171212,Latvia,5,0,0
20171212,Monaco,5,4,0
20171212,Qatar,5,0,0
20171212,Venezuela,5,0,0
20171214,Bulgaria,5,3,0
20171214,Denmark,5,1,0
20171214,South Korea,5,0,0
20171214,Madagascar,5,0,0
20171214,Romania,5,0,0
20171214,Tunisia,5,1,0
20171214,(not set),5,0,0
20171215,Denmark,5,0,0
20171215,Croatia,5,0,0
20171215,Hungary,5,0,0
20171215,South Korea,5,0,0
20171215,Panama,5,3,0
20171215,(not set),5,0,0
20171116,Bahrain,4,2,0
20171116,Ecuador,4,0,0
20171116,Hong Kong,4,1,0
20171116,Hungary,4,2,0
20171116,Israel,4,0,0
20171116,New Caledonia,4,0,0
20171116,Puerto Rico,4,0,0
20171116,Romania,4,1,0
20171116,Singapore,4,0,0
20171116,Suriname,4,1,0
20171117,New Caledonia,4,0,0
20171117,Paraguay,4,0,0
20171117,Romania,4,0,0
20171117,Serbia,4,1,0
20171117,Syria,4,0,0
20171117,Uruguay,4,0,0
20171118,Bulgaria,4,2,0
20171118,Guam,4,1,0
20171118,Croatia,4,1,0
20171118,Ireland,4,1,0
20171118,Israel,4,2,0
20171118,Cayman Islands,4,1,0
20171118,Philippines,4,0,0
20171118,Portugal,4,0,0
20171118,Paraguay,4,0,0
20171118,Ukraine,4,0,0
20171119,Costa Rica,4,1,0
20171119,India,4,0,0
20171119,Maldives,4,1,0
20171119,Paraguay,4,0,0
20171119,Serbia,4,0,0
20171119,Slovenia,4,0,0
20171119,Slovakia,4,2,0
20171119,Turkey,4,0,0
20171119,Uruguay,4,0,0
20171120,Egypt,4,1,0
20171120,French Guiana,4,0,0
20171120,Sri Lanka,4,1,0
20171120,Morocco,4,1,0
20171120,Martinique,4,0,0
20171120,Malta,4,0,0
20171120,New Caledonia,4,0,0
20171120,Oman,4,0,0
20171120,Panama,4,1,0
20171120,Taiwan,4,0,0
20171121,Costa Rica,4,0,0
20171121,Ecuador,4,0,0
20171121,Greece,4,1,0
20171121,Kuwait,4,0,0
20171121,Malta,4,3,0
20171121,Panama,4,1,0
20171121,French Polynesia,4,0,0
20171121,Uruguay,4,0,0
20171122,Denmark,4,0,0
20171122,Egypt,4,0,0
20171122,Hong Kong,4,1,0
20171122,Kuwait,4,0,0
20171122,Philippines,4,0,0
20171122,Poland,4,0,0
20171122,Ukraine,4,0,0
20171123,Bahrain,4,1,0
20171123,Algeria,4,1,0
20171123,Greece,4,0,0
20171123,Israel,4,1,0
20171123,Cambodia,4,1,0
20171123,South Korea,4,1,0
20171123,Monaco,4,1,0
20171123,Martinique,4,0,0
20171123,New Caledonia,4,0,0
20171123,Philippines,4,0,0
20171123,Slovenia,4,2,0
20171123,Taiwan,4,0,0
20171123,Ukraine,4,0,0
20171124,United Arab Emirates,4,2,0
20171124,Costa Rica,4,1,0
20171124,Denmark,4,1,0
20171124,Estonia,4,1,0
20171124,Martinique,4,1,0
20171124,Mauritius,4,0,0
20171124,(not set),4,1,0
20171125,United Arab Emirates,4,1,0
20171125,Switzerland,4,0,0
20171125,Czechia,4,1,0
20171125,Estonia,4,1,0
20171125,Guatemala,4,0,0
20171125,Slovenia,4,1,0
20171126,Bahamas,4,2,0
20171126,Costa Rica,4,0,0
20171126,Denmark,4,0,0
20171126,Egypt,4,1,0
20171126,Guatemala,4,0,0
20171126,Morocco,4,0,0
20171126,Oman,4,2,0
20171126,Peru,4,2,1
20171126,Puerto Rico,4,0,0
20171126,Turkey,4,0,0
20171126,Venezuela,4,0,0
20171127,Guadeloupe,4,4,2
20171127,Malaysia,4,0,0
20171127,Qatar,4,1,0
20171127,Seychelles,4,4,0
20171127,Tunisia,4,0,0
20171127,Venezuela,4,0,0
20171128,Switzerland,4,1,0
20171128,Denmark,4,0,0
20171128,Algeria,4,0,0
20171128,Egypt,4,3,0
20171128,Iran,4,1,0
20171128,Morocco,4,0,0
20171128,St. Martin,4,2,0
20171128,Malta,4,0,0
20171128,Panama,4,2,1
20171128,Peru,4,0,0
20171128,Romania,4,1,0
20171128,Turkey,4,1,0
20171129,Fiji,4,3,1
20171129,Kenya,4,0,0
20171129,Seychelles,4,0,0
20171130,Guatemala,4,0,0
20171130,Peru,4,0,0
20171201,Bulgaria,4,0,0
20171201,Bahamas,4,1,0
20171201,Guatemala,4,0,0
20171201,Indonesia,4,0,0
20171201,(not set),4,0,0
20171202,Costa Rica,4,0,0
20171202,Czechia,4,2,0
20171202,Israel,4,2,0
20171202,South Korea,4,1,0
20171202,Kuwait,4,1,0
20171202,Lithuania,4,1,0
20171202,Poland,4,0,0
20171202,Slovenia,4,0,0
20171203,Denmark,4,2,0
20171203,Hungary,4,1,0
20171203,Israel,4,1,0
20171203,India,4,0,0
20171203,Morocco,4,2,0
20171203,Madagascar,4,0,0
20171203,Romania,4,1,0
20171203,Ukraine,4,1,0
20171203,Venezuela,4,1,0
20171204,Austria,4,0,0
20171204,Aruba,4,2,0
20171204,Switzerland,4,0,0
20171204,Ecuador,4,1,1
20171204,Israel,4,0,0
20171204,Kuwait,4,3,0
20171204,French Polynesia,4,1,0
20171204,Slovenia,4,2,0
20171204,Ukraine,4,0,0
20171205,Switzerland,4,0,0
20171205,Czechia,4,0,0
20171205,Guatemala,4,1,0
20171205,Kuwait,4,3,0
20171205,Lithuania,4,0,0
20171205,French Polynesia,4,0,0
20171206,Bulgaria,4,2,0
20171206,Curaçao,4,0,0
20171206,Ecuador,4,1,0
20171206,Greece,4,1,0
20171206,Ireland,4,1,0
20171206,Maldives,4,1,0
20171206,Slovenia,4,0,0
20171206,Venezuela,4,0,0
20171206,(not set),4,0,0
20171207,Angola,4,1,0
20171207,Bahamas,4,0,0
20171207,Costa Rica,4,2,0
20171207,Algeria,4,0,0
20171207,Guadeloupe,4,0,0
20171207,Croatia,4,0,0
20171207,Malta,4,0,0
20171207,New Caledonia,4,1,0
20171207,Portugal,4,0,0
20171207,Paraguay,4,0,0
20171207,Qatar,4,2,0
20171207,Serbia,4,3,0
20171208,Aruba,4,0,0
20171208,Curaçao,4,0,0
20171208,Guadeloupe,4,1,0
20171208,Indonesia,4,0,0
20171208,South Korea,4,0,0
20171209,Curaçao,4,0,0
20171209,New Caledonia,4,1,0
20171209,Qatar,4,1,0
20171209,Romania,4,2,0
20171209,Slovenia,4,0,0
20171209,Slovakia,4,0,0
20171210,United Arab Emirates,4,0,0
20171210,Bulgaria,4,2,0
20171210,Cyprus,4,0,0
20171210,Fiji,4,0,0
20171210,Taiwan,4,0,0
20171211,Algeria,4,0,0
20171211,South Korea,4,1,0
20171211,Malaysia,4,0,0
20171211,Panama,4,1,0
20171211,French Polynesia,4,0,0
20171211,Philippines,4,1,0
20171211,Serbia,4,1,0
20171211,Singapore,4,1,1
20171211,Tunisia,4,0,0
20171211,Ukraine,4,0,0
20171211,Uruguay,4,0,0
20171211,Venezuela,4,1,0
20171212,Costa Rica,4,1,0
20171212,Denmark,4,1,0
20171212,Algeria,4,2,1
20171212,Martinique,4,1,0
20171212,Suriname,4,1,0
20171212,(not set),4,0,0
20171213,Bahamas,4,1,0
20171213,Curaçao,4,1,0
20171213,Estonia,4,0,0
20171213,Hong Kong,4,1,0
20171213,Croatia,4,0,0
20171213,Israel,4,0,0
20171213,Morocco,4,2,0
20171213,Qatar,4,0,0
20171214,Egypt,4,1,0
20171214,Croatia,4,1,0
20171214,Hungary,4,0,0
20171214,Maldives,4,2,0
20171214,Malaysia,4,0,0
20171214,Panama,4,1,0
20171215,Bulgaria,4,1,0
20171215,Bahamas,4,1,0
20171215,Estonia,4,1,0
20171215,Ireland,4,0,0
20171215,Paraguay,4,0,0
20171116,United Arab Emirates,3,0,0
20171116,Angola,3,2,0
20171116,Czechia,3,0,0
20171116,Haiti,3,1,0
20171116,Morocco,3,0,0
20171116,Martinique,3,0,0
20171116,Maldives,3,0,0
20171116,Peru,3,0,0
20171116,French Polynesia,3,0,0
20171116,Pakistan,3,0,0
20171116,Serbia,3,0,0
20171116,Slovakia,3,0,0
20171117,Bahamas,3,0,0
20171117,Congo - Brazzaville,3,0,0
20171117,Curaçao,3,0,0
20171117,Guadeloupe,3,1,0
20171117,Hong Kong,3,0,0
20171117,Israel,3,0,0
20171117,Morocco,3,1,1
20171117,Malta,3,3,0
20171117,Oman,3,0,0
20171117,Singapore,3,0,0
20171118,Bahamas,3,0,0
20171118,Egypt,3,1,0
20171118,Martinique,3,0,0
20171118,Malta,3,0,0
20171118,Maldives,3,0,0
20171118,Malaysia,3,0,0
20171118,Venezuela,3,0,0
20171119,Bulgaria,3,2,0
20171119,Czechia,3,1,0
20171119,Estonia,3,0,0
20171119,Hong Kong,3,1,0
20171119,Liechtenstein,3,0,0
20171119,Martinique,3,0,0
20171119,Malta,3,1,0
20171119,Malaysia,3,0,0
20171119,Panama,3,0,0
20171119,Ukraine,3,0,0
20171120,Albania,3,0,0
20171120,Angola,3,1,0
20171120,Bulgaria,3,2,0
20171120,Haiti,3,1,0
20171120,Jamaica,3,1,0
20171120,Sierra Leone,3,3,0
20171120,Ukraine,3,0,0
20171121,Dominican Republic,3,1,0
20171121,Guatemala,3,0,0
20171121,Ireland,3,1,0
20171121,Lithuania,3,1,0
20171121,Luxembourg,3,0,0
20171121,Martinique,3,1,0
20171121,Oman,3,0,0
20171121,Peru,3,0,0
20171121,Portugal,3,1,0
20171121,Suriname,3,1,0
20171121,Ukraine,3,0,0
20171122,Curaçao,3,3,1
20171122,French Guiana,3,1,0
20171122,Guadeloupe,3,1,0
20171122,Croatia,3,0,0
20171122,Cayman Islands,3,1,0
20171122,Lithuania,3,1,0
20171122,Montenegro,3,1,0
20171122,Madagascar,3,0,0
20171122,Malaysia,3,1,0
20171122,New Caledonia,3,0,0
20171122,Peru,3,0,0
20171122,Qatar,3,0,0
20171122,Singapore,3,0,0
20171123,Aruba,3,0,0
20171123,Bulgaria,3,2,0
20171123,Bahamas,3,0,0
20171123,Côte d’Ivoire,3,1,0
20171123,Cyprus,3,0,0
20171123,Estonia,3,0,0
20171123,Egypt,3,1,0
20171123,Hong Kong,3,0,0
20171123,Cayman Islands,3,0,0
20171123,Malta,3,2,0
20171123,Portugal,3,0,0
20171124,French Guiana,3,0,0
20171124,India,3,0,0
20171124,Jordan,3,0,0
20171124,South Korea,3,0,0
20171124,Lebanon,3,1,0
20171124,Maldives,3,1,0
20171124,Réunion,3,0,0
20171124,Slovenia,3,0,0
20171124,Slovakia,3,1,0
20171124,Taiwan,3,0,0
20171125,Bulgaria,3,0,0
20171125,Bahrain,3,2,0
20171125,India,3,0,0
20171125,Kuwait,3,1,0
20171125,Maldives,3,0,0
20171125,Peru,3,0,0
20171125,Paraguay,3,3,0
20171125,Slovakia,3,0,0
20171125,Turks & Caicos Islands,3,1,0
20171126,Cyprus,3,1,0
20171126,Guam,3,0,0
20171126,Lebanon,3,0,0
20171126,Lithuania,3,0,0
20171126,Singapore,3,1,0
20171126,Suriname,3,1,0
20171126,Ukraine,3,1,0
20171127,Aruba,3,2,0
20171127,Belarus,3,0,0
20171127,Côte d’Ivoire,3,1,0
20171127,Egypt,3,1,0
20171127,Ireland,3,0,0
20171127,Malta,3,0,0
20171127,Mauritius,3,0,0
20171127,Uruguay,3,0,0
20171128,Guatemala,3,0,0
20171128,Kuwait,3,2,0
20171128,Oman,3,0,0
20171128,Philippines,3,1,1
20171128,Venezuela,3,0,0
20171129,Curaçao,3,1,0
20171129,Cyprus,3,0,0
20171129,Czechia,3,0,0
20171129,Dominican Republic,3,1,0
20171129,Estonia,3,2,0
20171129,Guatemala,3,0,0
20171129,Israel,3,0,0
20171129,Cambodia,3,1,0
20171129,South Korea,3,0,0
20171129,Lithuania,3,1,0
20171129,Malawi,3,0,0
20171129,Panama,3,1,0
20171129,Peru,3,0,0
20171129,Slovakia,3,0,0
20171129,Suriname,3,0,0
20171130,Curaçao,3,1,0
20171130,Cyprus,3,2,0
20171130,Algeria,3,0,0
20171130,Ecuador,3,0,0
20171130,Israel,3,2,0
20171130,Iran,3,1,0
20171130,South Korea,3,0,0
20171130,Kuwait,3,1,0
20171130,Kazakhstan,3,0,0
20171130,Martinique,3,0,0
20171130,French Polynesia,3,0,0
20171130,Qatar,3,0,0
20171130,Sudan,3,2,0
20171130,Turkey,3,1,0
20171201,Kuwait,3,1,0
