Date,Country,Engaged sessions,WC (web conversions),WQC (web qualified conversions)
20171125,Mexico,94,9,0
20171201,France,94,10,3
20171211,France,94,16,0
20171214,Argentina,94,6,4
20171123,France,93,6,2
20171116,Germany,92,15,3
20171116,New Zealand,92,16,0
20171117,France,92,7,2
20171119,New Zealand,92,18,2
20171120,New Zealand,92,15,0
20171203,Argentina,92,6,1
20171204,China,91,0,0
20171215,France,91,12,0
20171206,France,90,15,3
20171126,United Kingdom,88,14,2
20171209,Chile,88,4,3
20171116,France,87,9,1
20171128,France,87,19,0
20171208,Argentina,87,6,2
20171122,France,86,15,2
20171204,United Kingdom,86,12,0
20171209,Argentina,86,2,2
20171116,United Kingdom,85,11,2
20171120,United Kingdom,85,14,1
20171123,New Zealand,85,7,0
20171204,France,85,13,2
20171214,Japan,85,4,2
20171215,Japan,85,5,1
20171116,Chile,84,4,0
20171120,Chile,84,4,1
20171130,Japan,84,4,0
20171118,Chile,83,2,1
20171212,Chile,83,1,0
20171119,Germany,82,5,0
20171118,United Kingdom,81,9,0
20171126,Spain,81,10,3
20171205,France,80,6,0
20171123,United Kingdom,79,10,0
20171128,United Kingdom,79,13,1
20171203,Sweden,79,9,2
20171118,Spain,78,15,8
20171124,France,78,7,1
20171117,Spain,77,11,2
20171121,Spain,77,8,1
20171125,United Kingdom,77,11,3
20171121,France,76,12,2
20171117,Germany,75,12,1
20171127,United Kingdom,75,9,0
20171121,Chile,74,1,0
20171122,United Kingdom,74,7,0
20171124,Spain,74,12,1
20171125,Germany,74,10,1
20171203,Spain,74,13,2
20171204,Chile,74,3,1
20171119,Chile,73,1,0
20171122,Spain,73,9,1
20171123,Spain,73,17,3
20171204,Japan,73,2,2
20171205,Argentina,73,2,1
20171202,Argentina,72,0,0
20171213,Chile,72,3,3
20171127,Germany,71,10,0
20171203,United Kingdom,71,11,2
20171204,Germany,71,2,0
20171213,France,71,2,0
20171128,Japan,70,7,0
20171124,Germany,69,9,0
20171124,Japan,69,0,0
20171122,Germany,68,5,0
20171124,United Kingdom,68,9,0
20171130,Spain,68,7,2
20171116,Japan,67,3,0
20171120,Spain,67,9,3
20171121,Germany,67,5,0
20171125,France,67,8,3
20171129,Sweden,67,5,0
20171204,Spain,66,12,0
20171204,Sweden,66,8,1
20171210,Germany,66,10,1
20171123,Germany,65,12,1
20171203,Japan,65,2,0
20171206,Argentina,65,6,2
20171209,Spain,65,7,1
20171128,Sweden,64,6,0
20171129,United Kingdom,64,6,0
20171201,Japan,64,1,0
20171205,Germany,64,8,0
20171208,Chile,64,2,0
20171209,Sweden,64,2,1
20171215,Chile,64,5,2
20171118,Sweden,63,3,0
20171125,Japan,63,2,0
20171128,Spain,63,7,1
20171201,Spain,63,10,2
20171202,Japan,63,3,0
20171206,Chile,63,3,1
20171206,Japan,63,3,0
20171207,Japan,63,3,0
20171208,Spain,63,2,0
20171211,Germany,63,6,0
20171213,Germany,63,4,1
20171213,Japan,63,5,2
20171118,Germany,62,6,0
20171129,Spain,62,5,1
20171203,Germany,62,5,1
20171211,United Kingdom,62,6,0
20171122,Chile,61,0,0
20171129,Germany,61,4,0
20171210,Spain,61,5,1
20171212,United Kingdom,61,9,1
20171201,Argentina,60,2,2
20171202,Germany,60,5,1
20171209,Germany,60,9,0
20171211,Spain,60,10,1
20171211,Japan,60,6,0
20171212,Sweden,60,3,0
20171120,Germany,59,10,2
20171121,Japan,59,1,0
20171121,Sweden,59,4,0
20171122,Sweden,59,5,0
20171130,Germany,59,10,0
20171130,United Kingdom,59,13,2
20171202,Sweden,59,3,0
20171205,United Kingdom,59,9,0
20171116,Spain,58,20,7
20171117,United Kingdom,58,5,2
20171119,Spain,58,7,3
20171121,Italy,58,7,0
20171126,Japan,58,8,0
20171204,Argentina,58,3,3
20171212,Germany,58,8,2
20171214,Chile,58,3,2
20171116,Sweden,57,4,0
20171117,Italy,57,7,1
20171117,Japan,57,5,1
20171123,Chile,57,2,1
20171125,Spain,57,8,2
20171127,Italy,57,9,0
20171206,Spain,57,6,3
20171206,United Kingdom,57,10,0
20171210,Japan,57,1,0
20171117,Chile,56,0,0
20171119,Japan,56,3,0
20171119,Norway,56,6,2
20171122,Japan,56,2,0
20171201,Germany,56,7,0
20171201,Italy,56,11,3
20171210,United Kingdom,56,8,0
20171214,Spain,56,3,1
20171127,Spain,55,6,1
20171127,Japan,55,5,0
20171130,Italy,55,9,1
20171208,United Kingdom,55,6,0
20171209,United Kingdom,55,4,0
20171213,Spain,55,4,0
20171116,Colombia,54,2,1
20171127,Chile,54,0,0
20171128,Germany,54,10,1
20171202,United Kingdom,54,13,2
20171204,Norway,54,5,0
20171205,Japan,54,3,0
20171207,Argentina,54,1,0
20171212,Spain,54,10,3
20171125,Sweden,53,3,0
20171207,Germany,53,5,0
20171208,Norway,53,14,0
20171215,Spain,53,9,1
20171120,Sweden,52,3,1
20171123,Japan,52,2,0
20171127,Finland,52,1,0
20171130,Norway,52,7,0
20171205,Sweden,52,8,0
20171208,Japan,52,0,0
20171116,Italy,51,4,0
20171122,Italy,51,9,1
20171124,Chile,51,2,2
20171203,Chile,51,0,0
20171211,Colombia,51,4,1
20171213,United Kingdom,51,16,1
20171214,United Kingdom,51,8,2
20171118,Japan,50,4,0
20171121,Norway,50,10,1
20171127,Sweden,50,3,0
20171201,United Kingdom,50,3,1
20171202,Spain,50,1,1
20171202,Italy,50,14,2
20171129,Norway,49,3,0
20171206,Germany,49,4,0
20171202,Chile,48,0,0
20171204,Italy,48,3,0
20171212,Japan,48,4,0
20171120,Italy,47,14,1
20171123,Italy,47,9,2
20171124,Sweden,47,4,0
20171201,Sweden,47,3,0
20171206,Norway,47,6,2
20171207,United Kingdom,47,6,0
20171207,Norway,47,8,1
20171208,Sweden,47,8,0
20171214,Italy,47,8,0
20171215,Germany,47,3,0
20171128,Chile,46,4,3
20171128,China,46,1,0
20171128,Norway,46,7,0
20171215,Italy,46,6,0
20171118,Norway,45,9,1
20171119,Sweden,45,4,0
20171123,Sweden,45,3,0
20171124,Italy,45,7,0
20171126,Sweden,45,7,1
20171127,Norway,45,11,1
20171129,Italy,45,5,0
20171207,Chile,45,0,0
20171207,Spain,45,10,3
20171214,Germany,45,1,0
20171203,Norway,44,1,0
20171210,Colombia,44,2,2
20171118,Italy,43,3,0
20171122,Finland,43,4,0
20171128,Italy,43,5,0
20171201,Norway,43,5,1
20171208,Germany,43,4,0
20171209,Japan,43,2,0
20171211,Norway,43,5,0
20171212,Italy,43,11,1
20171117,Sweden,42,4,0
20171120,Colombia,42,0,0
20171130,Sweden,42,6,0
20171205,Chile,42,1,0
20171205,Norway,42,7,0
20171211,Italy,42,5,0
20171215,United Kingdom,42,10,0
20171215,Norway,42,7,0
20171124,Finland,41,2,0
20171124,Norway,41,4,0
20171126,Chile,41,0,0
20171129,Chile,41,1,0
